amplitude,wave_number,p_derivation,height,thickness,grouser_num,wheel_rad,wheel_width,slope,wheel_mass,test_num,time,energy,force_x,force_y,slip,runtime,efficiency,z_advance,steer_slip,success
0.0163743,4,0.145257,0.0258316,0.0184119,10,0.159218,0.424736,8.00046,94.8282,73,9.54012,676.895,-0.0695433,0.0806109322168562,0.56006,2775.35,0.137506,0.100054,0.277976,1
0.00158757,2,0.093875,0.068398,0.0182984,12,0.38528,0.298805,7.56062,126.859,74,2.36,398.214,-0.525888,0.12573134665415,0.147261,1186.25,0.312769,0.100081,0.0419315,1
0.00721251,2,0.154814,0.0368693,0.0197664,9,0.252465,0.116524,11.7717,70.4803,75,5.04002,558.94,0.413118,0.147499664320859,0.619842,1798.91,0.123899,0.100161,0.273694,1
0.0266619,2,0.0631886,0.0684285,0.0163108,13,0.191483,0.467444,10.5213,22.9241,76,3.19,71.9396,0.276875,0.162405814648163,0.21221,1266.78,0.312775,0.100055,0.0647874,1
0.0155236,4,0.111804,0.0145582,0.0199562,13,0.190634,0.334352,6.27142,24.4244,77,6.51005,88.4583,0.0552694,0.118018376403096,0.227541,2022.02,0.270871,0.100002,0.106458,1
0.00272739,3,-0.163973,0.0183393,0.01251,16,0.298567,0.227413,9.52269,126.501,78,8.04009,1263.95,0.0560499,0.0907093351878754,0.703338,2568.49,0.0982226,0.100041,0.291261,1
0.0214782,3,0.0798771,0.0295663,0.020743,27,0.440187,0.494309,9.01999,61.2393,79,1.85,136.485,0.0632275,0.177434312754593,0.110165,1054.66,0.441434,0.100289,0.0140054,1
0.0145624,3,-0.0907426,0.0694806,0.0198116,9,0.372784,0.424735,9.39908,101.209,80,2.15,275.947,0.235024,0.122056447639778,0.192608,1107.07,0.360886,0.100302,0.0753902,1
0.00469772,1,-0.0117478,0.064299,0.0203603,16,0.315364,0.241499,12.3684,102.847,81,2.28,330.243,0.10436,0.138054303460599,0.323323,1110.53,0.30665,0.100373,0.0628484,1
0.018948,3,-0.128258,0.0592302,0.0150343,30,0.288035,0.163001,13.692,27.9396,82,2.85,102.529,-0.116149,0.181557365284359,0.466407,1237.16,0.267331,0.100002,0.124514,1
0.00470528,1,-0.239781,0.0615884,0.0221794,8,0.212395,0.447526,13.2145,79.4226,83,3.39,284.548,-0.0436624,0.09707654188807,0.410258,1344.08,0.274286,0.100172,0.148964,1
0.0150567,2,-0.237943,0.0276869,0.0244765,13,0.164905,0.17461,9.26992,40.0126,84,9.61012,288.647,0.0409449,0.112502278398003,0.580415,2736.7,0.136092,0.100077,0.269189,1
0.010222,3,0.284756,0.049135,0.0240294,14,0.271606,0.218872,6.51137,26.133,86,3.37,87.4215,-0.12105,0.188551677916069,0.132567,1377.86,0.29373,0.100163,0.0623632,1
0.00732788,2,0.244967,0.0608972,0.0106813,28,0.494667,0.372949,5.98374,64.8883,87,2,176.084,-0.121005,0.220301735395132,0.00725591,1153.49,0.361885,0.100105,-0.0306242,1
0.00305691,2,-0.192078,0.049498,0.0119891,14,0.19853,0.290787,5.01118,123.975,88,9.59012,982.488,0.161185,0.0942365521640346,0.398298,2846.51,0.123804,0.100014,0.247748,1
0.0139911,4,-0.0849426,0.0530825,0.0135327,16,0.410765,0.140256,13.0403,117.74,89,2.65,609.357,0.609333,0.160900666251439,0.548156,1247.21,0.190033,0.100256,0.16503,1
0.0222385,3,0.18212,0.0764759,0.024661,19,0.191151,0.207343,9.14911,119.606,90,6.80006,970.88,-0.484944,0.157081329706679,0.619516,2136.1,0.120935,0.100068,0.327877,1
0.00644737,4,0.291464,0.0399478,0.0151705,17,0.291302,0.26289,6.16758,116.044,91,3.95,539.036,0.435987,0.139792839659293,0.243699,1492,0.211234,0.100021,0.139433,1
0.0162725,2,0.150581,0.0513184,0.0208438,19,0.413994,0.158544,11.9943,92.3406,92,1.76,309.026,0.308692,0.205925568166957,0.310071,990.596,0.293177,0.100015,0.0909412,1
0.00970122,2,-0.0480394,0.0174045,0.0183542,25,0.453735,0.424402,9.18181,94.1284,93,2.05,221.191,-0.0575837,0.133392953025351,0.188714,1058.64,0.417575,0.100026,0.0723514,1
0.0166415,2,0.0773455,0.0318161,0.016394,21,0.385697,0.127033,5.42597,93.0544,94,4.16,557.015,-0.121297,0.16426549320951,0.265859,1601.79,0.163937,0.100032,0.169204,1
