X,Y,Z,r,absv
0.258494,-0.332548,-0.483434,0.016,0.137052
0.270841,-0.331531,-0.483962,0.016,0.137052
0.320112,-0.343926,-0.484006,0.016,0.120511
0.312575,-0.332505,-0.483445,0.016,0.120511
0.324924,-0.331496,-0.483954,0.016,0.120511
0.374051,-0.34391,-0.484005,0.016,0.119822
0.366575,-0.332449,-0.483449,0.016,0.119822
0.378929,-0.331507,-0.483942,0.016,0.119822
0.428084,-0.34391,-0.484003,0.016,0.13242
0.420525,-0.332503,-0.483459,0.016,0.13242
0.432872,-0.331471,-0.483964,0.016,0.13242
0.482073,-0.343981,-0.484003,0.016,0.142024
0.474501,-0.332584,-0.483433,0.016,0.142024
0.486844,-0.331536,-0.483987,0.016,0.142024
0.536074,-0.343915,-0.484005,0.016,0.123111
0.528587,-0.332461,-0.483437,0.016,0.123111
0.54094,-0.331507,-0.483949,0.016,0.123111
0.59007,-0.343925,-0.484003,0.016,0.127883
0.58255,-0.332493,-0.483441,0.016,0.127883
0.5949,-0.331503,-0.483947,0.016,0.127883
0.644057,-0.343954,-0.484,0.016,0.136204
0.636524,-0.332531,-0.483434,0.016,0.136204
0.648872,-0.331526,-0.483964,0.016,0.136204
0.698037,-0.34397,-0.484001,0.016,0.137095
0.690481,-0.332562,-0.483432,0.016,0.137095
0.702826,-0.331532,-0.483972,0.016,0.137095
0.752072,-0.343919,-0.484005,0.016,0.123061
0.744552,-0.332486,-0.483448,0.016,0.123061
0.756902,-0.331497,-0.483946,0.016,0.123061
0.806097,-0.343879,-0.484005,0.016,0.119345
0.798575,-0.332448,-0.483455,0.016,0.119345
0.810926,-0.331457,-0.483942,0.016,0.119345
0.860057,-0.343922,-0.484006,0.016,0.123539
0.852536,-0.332489,-0.483453,0.016,0.123539
0.864888,-0.3315,-0.483934,0.016,0.123539
0.914715,-0.343766,-0.484004,0.016,0.0688628
0.907843,-0.331976,-0.482855,0.016,0.0688628
0.920196,-0.331617,-0.483876,0.016,0.0688628
-0.95006,-0.296713,-0.48402,0.016,0.165971
-0.956896,-0.284851,-0.48369,0.016,0.165971
-0.944504,-0.284599,-0.484033,0.016,0.165971
-0.894697,-0.297165,-0.48405,0.016,0.0944924
-0.902271,-0.28577,-0.483472,0.016,0.0944924
-0.889924,-0.284722,-0.483915,0.016,0.0944924
-0.840892,-0.297182,-0.484003,0.016,0.135669
-0.84843,-0.285762,-0.483431,0.016,0.135669
-0.836083,-0.284751,-0.483971,0.016,0.135669
-0.786933,-0.297175,-0.484,0.016,0.134298
-0.794439,-0.285734,-0.483428,0.016,0.134298
-0.782089,-0.284758,-0.483955,0.016,0.134298
-0.732871,-0.297172,-0.484007,0.016,0.12464
-0.740391,-0.285741,-0.483426,0.016,0.12464
-0.728042,-0.28475,-0.483938,0.016,0.12464
-0.678892,-0.297199,-0.484002,0.016,0.136211
-0.686428,-0.285778,-0.483421,0.016,0.136211
-0.674081,-0.284769,-0.483965,0.016,0.136211
-0.624909,-0.297196,-0.484002,0.016,0.137089
-0.63245,-0.285779,-0.483424,0.016,0.137089
-0.620104,-0.284764,-0.483972,0.016,0.137089
-0.570926,-0.297156,-0.484005,0.016,0.127398
-0.578447,-0.285723,-0.483454,0.016,0.127398
-0.566097,-0.284733,-0.483955,0.016,0.127398
-0.516914,-0.297146,-0.484005,0.016,0.131932
-0.524464,-0.285733,-0.483458,0.016,0.131932
-0.512116,-0.284711,-0.483966,0.016,0.131932
-0.462867,-0.297151,-0.484005,0.016,0.12151
-0.470366,-0.285706,-0.483417,0.016,0.12151
-0.458015,-0.284738,-0.483931,0.016,0.12151
-0.408926,-0.297142,-0.484004,0.016,0.12253
-0.416436,-0.285703,-0.483454,0.016,0.12253
-0.404083,-0.284725,-0.483927,0.016,0.12253
-0.354925,-0.297169,-0.484002,0.016,0.135102
-0.362434,-0.285731,-0.48343,0.016,0.135102
-0.350085,-0.284751,-0.483963,0.016,0.135102
-0.300892,-0.297235,-0.484,0.016,0.141085
-0.308456,-0.285833,-0.483418,0.016,0.141085
-0.296112,-0.284794,-0.483971,0.016,0.141085
-0.246889,-0.297195,-0.484003,0.016,0.137203
-0.254417,-0.285769,-0.483417,0.016,0.137203
-0.242069,-0.284769,-0.483957,0.016,0.137203
-0.192896,-0.297191,-0.484,0.016,0.133995
-0.200409,-0.285755,-0.483408,0.016,0.133995
-0.18806,-0.284772,-0.483953,0.016,0.133995
-0.138923,-0.297167,-0.484004,0.016,0.131627
-0.146446,-0.285736,-0.483446,0.016,0.131627
-0.134096,-0.284744,-0.483957,0.016,0.131627
-0.0848896,-0.29715,-0.484004,0.016,0.130815
-0.092426,-0.285729,-0.483439,0.016,0.130815
-0.080078,-0.284721,-0.48396,0.016,0.130815
-0.0309002,-0.297136,-0.484001,0.016,0.1245
-0.0383839,-0.28568,-0.483424,0.016,0.1245
-0.0260317,-0.284728,-0.483948,0.016,0.1245
0.023064,-0.29716,-0.484003,0.016,0.135894
0.0155446,-0.285727,-0.483446,0.016,0.135894
0.0278936,-0.284738,-0.483976,0.016,0.135894
0.0770988,-0.297214,-0.484004,0.016,0.126906
0.0695338,-0.285812,-0.483438,0.016,0.126906
0.0818784,-0.284772,-0.483975,0.016,0.126906
0.131145,-0.297222,-0.484002,0.016,0.122247
0.123571,-0.285826,-0.483431,0.016,0.122247
0.135915,-0.284777,-0.483961,0.016,0.122247
0.185119,-0.297194,-0.484005,0.016,0.125243
0.177565,-0.285786,-0.483434,0.016,0.125243
0.18991,-0.284757,-0.483963,0.016,0.125243
0.239108,-0.297229,-0.484005,0.016,0.131837
0.231511,-0.285848,-0.483442,0.016,0.131837
0.243853,-0.284774,-0.483977,0.016,0.131837
0.293087,-0.29716,-0.484002,0.016,0.130355
0.285561,-0.285731,-0.483432,0.016,0.130355
0.297911,-0.284735,-0.483943,0.016,0.130355
0.347107,-0.297156,-0.484006,0.016,0.123669
0.339601,-0.285716,-0.483435,0.016,0.123669
0.351951,-0.28474,-0.483954,0.016,0.123669
0.401101,-0.297142,-0.484,0.016,0.125179
0.393621,-0.285685,-0.483417,0.016,0.125179
0.405973,-0.284736,-0.483954,0.016,0.125179
0.455056,-0.297151,-0.483999,0.016,0.129867
0.447546,-0.285712,-0.483441,0.016,0.129867
0.459897,-0.284734,-0.483944,0.016,0.129867
0.50908,-0.297174,-0.484003,0.016,0.136048
0.501566,-0.285738,-0.483431,0.016,0.136048
0.513915,-0.284754,-0.483978,0.016,0.136048
0.563121,-0.297167,-0.484003,0.016,0.127159
0.555602,-0.285735,-0.483425,0.016,0.127159
0.567951,-0.284745,-0.483953,0.016,0.127159
0.617096,-0.297225,-0.484004,0.016,0.141022
0.609509,-0.285837,-0.483435,0.016,0.141022
0.621851,-0.284774,-0.483985,0.016,0.141022
0.67113,-0.29714,-0.484004,0.016,0.12677
0.66359,-0.285721,-0.483438,0.016,0.12677
0.675938,-0.28471,-0.483967,0.016,0.12677
0.725091,-0.297198,-0.484004,0.016,0.12718
0.717529,-0.285793,-0.483445,0.016,0.12718
0.729875,-0.284758,-0.483976,0.016,0.12718
